Year,Product,Value,Average Precipitation,Average Temperature
1996,"Groundnuts, with shell",125000,108.52955,23.0189833333
1997,"Groundnuts, with shell",91000,107.51592,23.4647166667
1998,"Groundnuts, with shell",140000,101.7512333333,23.0920583333
1999,"Groundnuts, with shell",137000,103.2014083333,23.0879833333
2000,"Groundnuts, with shell",139000,93.1353833333,23.5938833333
2001,"Groundnuts, with shell",146000,105.078525,24.1758666667
2002,"Groundnuts, with shell",148000,109.6859083333,24.51845
2003,"Groundnuts, with shell",220000,103.00085,24.4717916667
2004,"Groundnuts, with shell",221000,95.762975,23.8567083333
2005,"Groundnuts, with shell",225000,79.31245,24.0215333333
2006,"Groundnuts, with shell",230000,110.5138083333,23.924775
2007,"Groundnuts, with shell",235000,121.638725,23.8768
2008,"Groundnuts, with shell",229636,98.038325,24.0638666667
2009,"Groundnuts, with shell",257967,97.4872333333,24.7333166667
2010,"Groundnuts, with shell",275767,118.9396166667,24.2372
2011,"Groundnuts, with shell",327000,110.0423833333,23.7862333333
2012,"Groundnuts, with shell",295000,117.666575,23.43125
2013,"Groundnuts, with shell",295000,121.7781333333,23.4988583333
2014,"Groundnuts, with shell",295600,99.9432583333,23.6246416667
1991,Maize,567000,103.2848083333,22.7079
1992,Maize,657000,93.8163666667,22.6670583333
1993,Maize,804000,88.2490583333,22.556875
1994,Maize,850000,107.3231833333,22.4837166667
1995,Maize,913000,97.918725,23.3431083333
1996,Maize,759000,108.52955,23.0189833333
1997,Maize,740000,107.51592,23.4647166667
1998,Maize,924000,101.7512333333,23.0920583333
1999,Maize,1053000,103.2014083333,23.0879833333
2000,Maize,1096000,93.1353833333,23.5938833333
2001,Maize,1174000,105.078525,24.1758666667
2002,Maize,1217000,109.6859083333,24.51845
2003,Maize,1300000,103.00085,24.4717916667
2004,Maize,1080000,95.762975,23.8567083333
2005,Maize,1237000,79.31245,24.0215333333
2006,Maize,1258029,110.5138083333,23.924775
2007,Maize,1261803,121.638725,23.8768
2008,Maize,2314909,98.038325,24.0638666667
2009,Maize,2354664,97.4872333333,24.7333166667
2010,Maize,2373501,118.9396166667,24.2372
2011,Maize,2551000,110.0423833333,23.7862333333
2012,Maize,2734000,117.666575,23.43125
2013,Maize,2748000,121.7781333333,23.4988583333
2014,Maize,2868000,99.9432583333,23.6246416667
1991,Millet,576000,103.2848083333,22.7079
1992,Millet,634000,93.8163666667,22.6670583333
1993,Millet,610000,88.2490583333,22.556875
1994,Millet,610000,107.3231833333,22.4837166667
1995,Millet,632000,97.918725,23.3431083333
1996,Millet,440000,108.52955,23.0189833333
1997,Millet,502000,107.51592,23.4647166667
1998,Millet,642000,101.7512333333,23.0920583333
1999,Millet,606000,103.2014083333,23.0879833333
2000,Millet,534000,93.1353833333,23.5938833333
2001,Millet,584000,105.078525,24.1758666667
2002,Millet,590000,109.6859083333,24.51845
2003,Millet,640000,103.00085,24.4717916667
2004,Millet,659000,95.762975,23.8567083333
2005,Millet,672000,79.31245,24.0215333333
2006,Millet,686784,110.5138083333,23.924775
2007,Millet,732112,121.638725,23.8768
2008,Millet,274857,98.038325,24.0638666667
2009,Millet,249510,97.4872333333,24.7333166667
2010,Millet,267973,118.9396166667,24.2372
2011,Millet,292000,110.0423833333,23.7862333333
2012,Millet,244000,117.666575,23.43125
2013,Millet,228000,121.7781333333,23.4988583333
2014,Millet,236000,99.9432583333,23.6246416667
1991,"Peas, dry",15000,103.2848083333,22.7079
1992,"Peas, dry",15000,93.8163666667,22.6670583333
1993,"Peas, dry",16000,88.2490583333,22.556875
1994,"Peas, dry",17000,107.3231833333,22.4837166667
1995,"Peas, dry",16000,97.918725,23.3431083333
1996,"Peas, dry",17000,108.52955,23.0189833333
1997,"Peas, dry",20000,107.51592,23.4647166667
1998,"Peas, dry",19000,101.7512333333,23.0920583333
1999,"Peas, dry",19000,103.2014083333,23.0879833333
2000,"Peas, dry",16000,93.1353833333,23.5938833333
2001,"Peas, dry",15000,105.078525,24.1758666667
2002,"Peas, dry",16200,109.6859083333,24.51845
2003,"Peas, dry",13500,103.00085,24.4717916667
2004,"Peas, dry",15000,95.762975,23.8567083333
2005,"Peas, dry",15000,79.31245,24.0215333333
2006,"Peas, dry",16005,110.5138083333,23.924775
2007,"Peas, dry",16165,121.638725,23.8768
2008,"Peas, dry",15211,98.038325,24.0638666667
2009,"Peas, dry",16657,97.4872333333,24.7333166667
2010,"Peas, dry",16990,118.9396166667,24.2372
2011,"Peas, dry",17330,110.0423833333,23.7862333333
2012,"Peas, dry",12000,117.666575,23.43125
2013,"Peas, dry",17000,121.7781333333,23.4988583333
2014,"Peas, dry",17000,99.9432583333,23.6246416667
1991,Pigeon peas,50000,103.2848083333,22.7079
1992,Pigeon peas,51000,93.8163666667,22.6670583333
1993,Pigeon peas,53000,88.2490583333,22.556875
1994,Pigeon peas,55000,107.3231833333,22.4837166667
1995,Pigeon peas,58000,97.918725,23.3431083333
1996,Pigeon peas,58000,108.52955,23.0189833333
1997,Pigeon peas,59000,107.51592,23.4647166667
1998,Pigeon peas,61000,101.7512333333,23.0920583333
1999,Pigeon peas,76000,103.2014083333,23.0879833333
2000,Pigeon peas,78000,93.1353833333,23.5938833333
2001,Pigeon peas,80000,105.078525,24.1758666667
2002,Pigeon peas,82000,109.6859083333,24.51845
2003,Pigeon peas,84000,103.00085,24.4717916667
2004,Pigeon peas,84000,95.762975,23.8567083333
2005,Pigeon peas,85000,79.31245,24.0215333333
2006,Pigeon peas,86000,110.5138083333,23.924775
2007,Pigeon peas,87000,121.638725,23.8768
2008,Pigeon peas,10306,98.038325,24.0638666667
2009,Pigeon peas,12598,97.4872333333,24.7333166667
2010,Pigeon peas,12761,118.9396166667,24.2372
2011,Pigeon peas,12923,110.0423833333,23.7862333333
2012,Pigeon peas,13000,117.666575,23.43125
2013,Pigeon peas,13000,121.7781333333,23.4988583333
2014,Pigeon peas,13000,99.9432583333,23.6246416667
1991,Potatoes,254000,103.2848083333,22.7079
1992,Potatoes,268000,93.8163666667,22.6670583333
